scheme,load,run,total_arrivals,blocked,dropped,success,total_mapped_vnfs,migrated_vnfs,total_state_mb,migrated_state_mb,predeployment_count,handoff_with_replica,handoff_without_replica,energy_idle_j,energy_load_j,energy_mig_j,energy_total_j,avg_delay_steps
PCM,700,40,1495,0,364,1131,4798,948,40239.7004,10966.0388,255,84,240,1773575.7349,712.9271,134.5004,1774423.1624,5.5995
PCM,800,41,1690,0,429,1261,5524,1206,47345.0164,13546.0289,269,97,303,1773575.7349,815.579,166.7303,1774558.0441,5.755
PCM,800,42,1677,0,449,1228,5513,1072,47327.2878,12380.5857,284,85,273,1773575.7349,852.1212,151.9559,1774579.8119,5.6873
PCM,800,43,1568,0,400,1168,5083,1064,42863.2271,12257.938,270,88,282,1773575.7349,769.1072,151.6594,1774496.5015,5.6926
PCM,800,44,1694,0,430,1264,5516,1128,46914.7325,13259.8151,279,96,288,1773575.7349,828.4962,162.3582,1774566.5892,5.6994
PCM,800,45,1675,0,417,1258,5392,905,45145.706,10278.1797,292,93,228,1773575.7349,797.1379,126.5118,1774499.3846,5.5477
PCM,900,46,1847,0,474,1373,6005,1183,50419.0132,13483.1225,316,107,309,1773575.7349,904.7135,166.8012,1774647.2497,5.6883
PCM,900,47,1892,0,469,1423,6110,1083,51596.0242,11932.7982,296,99,279,1773575.7349,896.5699,148.218,1774620.5228,5.5657
PCM,900,48,1889,0,475,1414,6176,1187,52096.6243,13651.1795,328,105,296,1773575.7349,950.6152,167.1618,1774693.5119,5.6351
PCM,900,49,1919,0,476,1443,6244,1213,52896.5035,13575.7521,354,124,303,1773575.7349,952.9304,167.2975,1774695.9628,5.6403
PCM,900,50,1896,0,524,1372,6229,1303,52972.9283,14518.365,322,102,343,1773575.7349,941.615,180.5037,1774697.8536,5.6465
PCM,1000,51,2020,0,510,1510,6496,1410,54408.6828,15972.8944,323,96,362,1773575.7349,975.8986,196.8889,1774748.5225,5.6278
PCM,1000,52,2032,0,519,1513,6644,1310,56641.0495,15231.6872,335,122,327,1773575.7349,1021.6384,186.2369,1774783.6101,5.6999
PCM,1000,53,2176,0,546,1630,7089,1477,60175.2653,16539.6059,364,118,392,1773575.7349,1039.0803,205.7761,1774820.5913,5.673
PCM,1000,54,2082,0,521,1561,6715,1426,57202.2457,15998.3997,345,123,371,1773575.7349,1016.9444,198.314,1774790.9933,5.6438
PCM,1000,55,2131,0,537,1594,6890,1472,58662.3213,16469.6548,356,123,393,1773575.7349,1073.8287,205.2265,1774854.7902,5.623
