scheme,load,run,total_arrivals,blocked,dropped,success,total_mapped_vnfs,migrated_vnfs,total_state_mb,migrated_state_mb,split_count,energy_idle_j,energy_load_j,energy_mig_j,energy_total_j,avg_delay_steps
SCM,800,43,1568,0,400,1168,5083,1532,42863.2271,17075.463,0,1761609.4917,687.4045,210.9546,1762507.8508,5.6926
SCM,800,44,1694,0,430,1264,5516,1755,46914.7325,19717.4606,0,1761609.4917,744.4163,241.2746,1762595.1825,5.6994
SCM,800,45,1675,0,417,1258,5392,1615,45145.706,17974.4426,1,1761609.4917,701.2559,220.3444,1762531.0919,5.5477
SCM,900,46,1847,0,474,1373,6005,2098,50419.0132,23556.9308,0,1761609.4917,818.6553,288.1693,1762716.3162,5.6883
SCM,900,47,1892,0,469,1423,6110,1822,51596.0242,19961.6831,1,1761609.4917,796.7037,245.7168,1762651.9122,5.5657
SCM,900,48,1889,0,475,1414,6176,1960,52096.6243,22222.4453,0,1761609.4917,847.5147,270.4245,1762727.4308,5.6351
SCM,900,49,1919,0,476,1443,6244,2048,52896.5035,22885.7836,0,1761609.4917,853.7999,279.0578,1762742.3494,5.6403
SCM,900,50,1896,0,524,1372,6229,2112,52972.9283,23616.3337,0,1761609.4917,868.1509,289.3633,1762767.0058,5.6465
SCM,1000,51,2020,0,510,1510,6496,1997,54408.6828,22458.6426,0,1761609.4917,831.1459,275.5864,1762716.224,5.6278
SCM,1000,52,2032,0,519,1513,6644,2174,56641.0495,24236.0711,0,1761609.4917,924.3776,296.4607,1762830.33,5.6999
SCM,1000,53,2176,0,546,1630,7089,2328,60175.2653,25898.6716,0,1761609.4917,962.3745,318.8867,1762890.7529,5.673
SCM,1000,54,2082,0,521,1561,6715,2308,57202.2457,26109.237,0,1761609.4917,923.2664,319.0924,1762851.8504,5.6438
SCM,1000,55,2131,0,537,1594,6890,2247,58662.3213,24826.483,0,1761609.4917,903.5855,305.8648,1762818.942,5.623
